sentence,sentiment
Bhaijan main aapka baut bada fan ho i love u bhaijan jabtak bhaijan he taptak main ho,2
Modi g jaha bhi gaya apna jhanda gaar kar aya.,2
Muslmano ki beizti ki hai is film mai,0
4:02 IST where r u??? mein yaha tu wahaa...zindegi hai kaha??,1
Kya bhai hum jab Bussy ho tab hi aap online honge..... plz hamara bhi socho..... night me sab free hote he.,1
Welcome back Mr pm.ab kitne din rahenge India me???ye paisa kisika baap ka nehi hai.hamara hai.hamare paison Se bidesh ja kar ghumte ho saram nehi aati???,0
ab chalo yar sone...aaj #juma h bhailog ....namaz padhni h,1
Jai sri ram nama namo,1
Kab aayegi yeh eid...,1
sala musalman ke naam par kalank hai ye sale tune muslim ke liye kiya hi kya hai or jo kar raha hai tu us se bhi jal raha hai,0
salman khan ma ap ka bohat bara fan ho,1
eid mumbar ho aap ko..,1
kal lakshmi mata ki aarti hogi subha ke waqt namaste jii,2
Masti he mohl me chahi khumari he saarey thak ke beth gye per apni party jaari he @@FEELING HAPPY WITH THE SALMAAN@@ COMING SOON BAJRANGI BHAIJAN ON THIS @EID@@,2
"Sir,kuch apne desh me bhi ghoom liya jaye, kahin bijli to kahin pani,aur kahin road hi nahi haiAchhe din jab aayenge aate rahenge,aap to aao",0
Aa jao bhaijaan,1
abe koi toh batao akhir chal kya rha yahan,0
sirr..khan ho...goli toh ni de re??,1
Eid ka zaakat fitra lene kab aa rha hai,1
jiske pas ilm he wo sabse amir he,2
nyc...mene active kr liya...,2
Salman Khan bhai ap ko likes or comments km milte hain shah rukh khan ki nisbat,0
salman bhai asslam alykum,1
Mujse baat karne m tumko sharam aati h sab k saamne,1
ok boss apka hukum sir ankho pe,2
Pata wata hota nhi ajate hain bheek mangne,1
Modi ji apne ye to kaha diya ki Jo saksham hai vo subsiti na le Main sahamat hoo per please Ek bar himmat juta ker bol dijiye Jo saksham hai vo arakshan na le,2
I blv u... Kp shining ma luv.. TZ luvs u.. :) :*,2
Kaise hai bhai aap achha rhiyega to hum v rhenge vRna aap jante hai,1
Slman kya tm waqai musalman ho agr ho tu muslmano ke naam pr dhbba ho,0
Chal ba tharke,0
kya bhai aapka ye movie bahubali record tod paeyga,1
Jise bhi apne profile pic par 1000+ like lena hai add kar ke massege karo only indians,1
"maharani laxmi bai, tatya tope , Subhas chandra bos , ajad , Bhagat etc are the true leaders",2
aapko jamane se jhin lu ittana meri aukat nhi .....,2
Chutiya bna rahey ho kya bhai..:p boley to lucky draw nikal k baat karogey kya!,0
i hop ap reply jrur kroge..ap apne fans ka dil kbi nai todroge,1
mananiy pradhan mantriji apko salam our ramajan eid mubarak,2
Plz mera dream true kardona bhaii,1
Ye jhut hai.,1
congratulation sir ji,2
Salman bhai I loveyou,2
Modi ji hamara hindustan ka naam saada ucha rakhna.jai bharat mata jai hind..,2
i am bigg fan of salman khan iam pakistani love love uuuu salman khan,2
Modi ji zindabaad hamare desh ka strong hain joh India ki image badlega,2
Sory main nhe aasg t main pakistan main ho???,1
Bakwas actor ki bakwaas film,0
Hum thhak gaye bhai apka intazar kar k kar k hamari ungaliya b duk rahi hai typing karke,1
helo bAi kesahe up,1
Ye fake id h salman sir ki kyuki esa ho nhi skta ki salman sir ko sat shree akal likhna aata :-),0
Bht ho gya wait ab baat krni ho toh inbox kr dena,1
Alisha sallu hat ni aane vala the sapne dekhna band karo,1
bhaijaan thagaye hoghaey itne saare comments dekkar bhaijaan abhi online mein hai,1
Hi sallu baba,1
GREAT SALMAN BAI,2
nai ata kamina salman khan sabko pagal banara lolz,1
Keh do tumhe ya chup rahu,1
"hy bhai,life ek wish hai bas ek bar tumhe gaale milooo......",2
we are proud our pm ; ab lg rha h ki hmara desh ek achchi rah pr chal para hai jaha se hm puri world me apna jhanda gaar skte hai,2
Hello bade bhaijAAN,1
baat online kr rhe the bhai...abhi 5 bje khtm hua h,2
Brillient jeee i m muslim from pakistan janab pakistan buri jagah nae jo ap yahan a nae skty ........m bula nae rae bta rae hun ana howa to most welcome mery colg m b aiya gaaaa,2
gdrrrrr awaz salman bhai kiiii love u sallu,2
I love you meri jan aap sah bohot piyar karty hoo,2
Sallu bhai so. gyee kyaaa,1
Kyun bhai Aj kyun nahi Kal kare so Aaj KAR...,1
Muja milla msg salman bhai ka,1
Salman bhai main apki baat ko samj saktahu aur yeh sab jhut hai,1
Bhai aapko sabke comment mile honge par mai ye aapse kahna chahta hu ki aap eid par mere ghar aaao or sewainya kha lo or ek bahut jaruri baat aapko batana h mujhe aapke reply ka wait rahega,1
tri maa ka choot,0
"job chahiye hm kuchh ldke jobless h, or hone wale h pdhe b km h bt work krna jante h",0
bhai kaha gum ho gye,1
Bhupender Panwar ab tum mojsai q poch rahai ho ka mai Kon ho,1
kya yar aap shaadi karlo na yar abhi to aapka jawani bhi khatam horahe hai,1
Chaye bechate bechate desh mat bej Dena,0
tum milna chahte hi nahi kya mujhse,1
gold aur silver ke shear kharid ke bhul jao agar aage chal kar kabhi koi us businesses me jana chahe to shears bhech kar original kharidle nahi to wo rahega aise hi,1
Bhai kuch Hindu ko kush hogaye ap ne fans ko bahut naraz kiya,1
bajrangi bhai jaan kaise ho,1
swgat nahi karo ge hamara,2
tic toc ..tic toc...yaar ye time kyu nahi ja raha..,1
Salman realy good yar,2
Bajrangi bhaijaan mein koi aisa scene jo yadgaar ho????,1
Koun se page par hogi baat bhai koi soon RHA hay,1
Aaj ki party meri taraf se bhai jaan,1
Ek baat bta deta hu aap sabko.... Plz ijjat se baat krna SB log,1
jay jay bajrngi bhai jaan,2
4 baj gaye lekin bhai aana abhi baaki hai ;),1
superstar salman bhai,2
Bhaijaan muze aapke sath picture click karni hai.......love u bhaijaan.....,2
Nice imeg bro,2
salman bhai haqiqat men to nahi milte ap kam az kam khuwab men dua salam k liye ajaya karo,2
bhai apke is blockbuster movie bajrangi bhaijaan ke bare me kuch gadhe na jane kya kya bakbas kr rahe hai aur ahmedabad me to movie ki release pr ban lagane ke liye appeal bhi ki hai ap kya kahoge bhai,1
Sir aap aage chalo hum aapke saat he,2
Bajrangi bhaijaan 2 day 100 cror club me pohch jayegi,2
assalamualaikum sallu bhai jumma mubarak ho sallu bhai twitter par mai hi ho aapko masages karti ho,2
Salman Khan apka dil sch me pure water jaisa hai,2
Pak foje zinda bad <3,2
Nu cred ca ii fb lui salman khan,1
5.25 paise diya,1
Bhaijan mere bhabi ko or kitne bakhath samalkhe rakhogeJara mujhe bhi dekhna hay... :),1
bhai jaan aaye kya,2
Jai shri krishna bhagwaan ji apko hamesha khush rakhe,2
pakistan k fans kia kren zara ye bhi btaye bhai?,1
Biceps 17 inchi banane ke liye kya kare.give me some tips.,1
Bhai kaha ho aap,1
Ye photographer thak gya h kya .. blurred photo aayi h ...,1
Hllo salman bhai kase h aap,1
Kya bakvas hai yar,2
Sab ka bhai salmaan bhai love you salmaan,2
apki aane wali film bajrangi bhaijan suuuuuupppppppeeeeeeerrrrrrrrrr hit ho,2
Bhai life mera sirf ek hiii khawb hai... Apke. Sath ek selfieee bhai,2
aap ke whtasup no. de do uspe bat karengai.....,1
Hum to apko apni jaan maante hai,2
Koi bhi musalman is ki picture nahi dekhna,0
Jane kab Meri neend gai,1
kyu movie me kuch glt dikhaya h kya,1
"300, crore insha Allah",2
reaally kia ye hosaktha hai Salman Khan,1
allah hafiz....salman,1
4 baj gye sir,1
3.30 bje tak bhai yaha video chat karne vale h so apne question ke sath taiyar rehna,1
Salman muzhe mere sawal ka jawab cahiye hum nich to tu kon akher tu bhi muslim h na most reply,0
aap ache ho na ? body shody bana rah ho na,1
4 baj gaye lekin bhai abi aaye nahi...,1
Super duper hit hai bhai ...,2
eid musalmaan ki hoti hai,1
Hii bhaii.. Aap kese ho..?? Agar aap.mera cmmnt padh rhe ho toh plz ek reply kar dena,1
chup baith zaleel tu musalman nahi hai aur tu ek c***tiya hai mada****d,0
salu miya kaal aa rahe h hum bhaijaan se milne,1
Kbhi kbhi mere dil me tum bhi aate ho,1
Salaam bhai aap ye accha kaam nahi karre,0
salman aap to hmare jaise ho eek baar kuch bolo,1
Saare jahan se achha hindustaa hamara,2
India army bad India army ne sari am awrat ka ezat lotlya,0
Salman..bhai ..aap dekh rahe ho kya kitne fans aapki wait kar rahe hai..just Hello to kehdo Sabko,1
Salman khan meeting me bzy he kal online aaye ge wo,1
Assalamu alykum bhaijaan Eid mubarak ho bhai or aap bahut ache insaan ho good luck,2
Agar bhai ka 1st day 1st show nahin dekha toh yeh jaan rehne ka kya fayda,1
Sabaka bhai salu bhai,2
bhaijaan jaldi aao fb par waiting 4 U,1
Bollwood ki aaan baan saan dekho aagaya #Salman_khan movie me karenge Dhamaal kyo ki ye hai #Bajrangi_Bhaijaan,2
Bahut achchhakarya aur bahut achchha Hamara sarkar,2
Pehle main milna chahti hu,1
Mera beta aap ko bahot pasand krta hai,2
Kya karte ho salman yr,1
"Kesi randi ka bacha,",0
sir aapse milne or baat krne ki bahut ekchh thi,2
4 Baj gaye lekin party abhi baki he,1
Bhai k sath baat karne ko taras raha hu yaar,1
Onliy dabang bhai,2
Namaste Bhai jaan . aap sirf bhai jaan hi nahi aap to hum sab ka jaan hey . aur mera Bhagwan hay sir . Jay Bajrang Bali ..........,2
Bhai ap jhakas ho pr sab ne body ap ko dekh kar banaaya or ap mote hote ja rahe ho,2
"4,30p.m ho gea ab to fb pe aooooo.",1
Mere yeha ek ladka bhi nhi jayega movie dekhne,0
Hanji paji tiaar aa jooba,1
Help me bhai plzz help.me,1
esaa kyu bolte ho aap,1
"salman khan Tera jo being human ka fashion show kiya tha us mein ek model Dress pehna tha jis mein ALLAH likha hua tha, jab se hum tere se nafrat karte kamine sale salman khan kutta",0
bhai apku sath Katrina ko film mere bohut ppochondo,1
Sir reconnection ke liye fir se jaana pad sakta hai kya ?,1
Kya ye wo hi salman h jisne hum ko chelange kya h,2
Bhai aapse baat karne ko kitna wait kiya hai pls....bhai pls talk to me I need ur help...pls main aapse ek baar baat karna chahti hun pls talk to me...bhai pps help me pls,1
Jaldi aaow bhai,1
bas 1 min aur,1
Chankya ne kha hai .. Agar aapko ek kadam aage badhna hai to pahle 10 kadam piche rakho,1
Pakistan kyo jayega salman,1
Madar Salman nai chalegi film,2
bajrangi bhaijan jaldi aa jao cinema hall me,1
aur har bhade ke tattuo se comment karwane wala har SALMAN KHAN musalmaan hota hai,0
i love u salman bhai.....bajrangi bhaijaan....,2
bhaijaan kaha ho???,1
Wao lata mangekar,2
i love salman sir mera no 7535964415 ap ka bahutt tagda fenss hu i love yy,2
Kya pm bihar me aana. chahte hai,1
masaallah bhaijaan ..supar dupar hit bajrangi bhaijaan,2
love uuuu sallluuuu,2
sare logo se ke hogi bat,1
Kya chutiye log hain Jo ise eid Mubarak bol rahe hain is kamine ko kya mlm k ramzan kya hai aur eid kyu manate hain...ise to sirf paison se mtlb hai,0
Bhai Jaan original kon se fb par ho kiss naam SE hai,1
Dekhna friends Salman bhai zaror reply kary ga late hi sahi,2
Salman bhai jai ho. Blessings to bajrangi bhaijann. ....,1
ye hai dhasu look..../ilu viii,2
Nice song aaj ki patry meri tarf se,2
Tum log bekar me apna time karab kar rahe ho koi nahi Aane wala,2
bas ab ek hi baat h kolkata jldi ana plz,1
Salman plz reply,2
Bakwaas hai bhai..Bas apne movies pey lagao. BB 500 Crore minimum guaranteed!!!,2
Logon ka to kaam hi hai afwah failana,0
Wah good video salman bhai 100 like deta ho like like like like like like like like like like like like like like like like like like like like Luke,2
kya tha woh u block,1
Bhaijan ak hi hain.....SALMAN......,1
Insan jab tarki karleta hai to wo apne mazhab KO bul jata .hai jab thokar lagti hai use to use apni galti ka ahsas hone lagta hai .....koch aisy hai salman ki khani mery Kuban I.......,0
Musalmano plz open ur eyes salman khan only naphrat ke layak hai,0
plz aayeye sir jhuth bole to smjh lena aap ek meri jitni achi fan gwa doge aap sir,1
"sir, can't wait fr #Bajrangi_bhaijaan <3",2
Aap Kisi se bhi baat nahi karte ho,0
kisse karenge bro aapke to fan bhi bhut hai,1
Sir kaise milega reply ;-( itne logo mein,1
Dabang kha ho,1
salei suwar ka pilla .... mar jaa aishwarya ke moot mei doob ke ..cheeh Modi Aur Rss ka Nya Kutta,0
wee belive u salman,2
Hellooooo 6 mint upar ho gayyyyyy,1
3 bar dkhunga m theatre m jake bajrangi bhaijaan,2
I love u salman khan love u love u love u love love u so mach,2
4 baje meri college mein class hai bhai jaaan :(,1
4pm baje karenge . direct baat mere saath . this is what bogg bosss siad rightly,1
tera film se br nhi chalne wala h bajrangi,0
Salman Bhai ye film bhi super hit hogi aap be fikar ho jao,2
abe tm log nhi manoge tikhi mirchi wala nasta kraunga sb ko tbhi theek hoge.....tb salman salman nhi pani pani chillana smjhe,1
Aur WO achi ladki hai,2
aap mere gao ki kahani p ek film bana do...,1
Hai salman bhai,1
plz salman g ap sb ki help krte ho is bichare ki b kr do na apni mom ki khatir,1
Ghen ke Lund apni bhen Chuda rha h randi ke,0
kasm  khuda  ki  itna  toh  class12  ke result ke din  v  exitmnt ny  tha.,2
I think vai app padhtey hongey plzz mai appse milna chata hu,1
Agar mushalman ko challange de rahe ho to bro movi m bhar de jholi wali kavali kyo aad ki ?????????,0
aapko late aane ki aadat hai me janta hun... 4baje bhi sayad start nahi hoga...,1
Wah sir g ab desh sahi hatho me gya h apko dekh kar aisa hi lagata h,2
Bhai esa mat karo,1
hlw salman bhai,1
Sab ka malik ek.,1
Cool movie bajarangi bhaijan osm ??,2
Bolo naa kyaa karo salman ?,1
Nice pic salman bhai aapne to sab ko diwana bana rakha hai,2
#salu bhai ap bas bachio ko reply kartay ho :p,1
salman bhai mah ap ki philm jaror dekunga,2
awoo kare baat salman ke sath`-?,1
Baba ji aap to so jao q budhape me nind kharab kar rahe ho,1
Salman sir. Mera aims pura kardo me aapse milna chahta hu mujh se mil lijiye,1
Salman bolo tumne mushalmano ko yeh kaha tha ke nai kyun ki me aapko bohut like karti thi agar aap kahonge ke tumne esa kuch nai bola toh hi main manungi please reply jarur karna kasam he aapko,1
meko itna gussa araha hai vomit kardugi iske muh mai tabi sudarega kutt#,0
khuni saale chal jail ja,0
bhai Tu apni jaaan hai :*,1
Kaha reh gye,1
Ji salman bhai.bilqul rhenge..aapke liye :* :),2
ji shukriya apne fns s bt krne k liye,1
masha allah good....yeh hain meri hindi,2
bhi aapke movie ka besabri se wait kr rha hu aur mera aasa hai ki iss sal recod tut jayega...,2
Bhai ap sapna kyu dekhate ho bhai bus apke fan h hum,1
Salmaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaan ajhooo 4 ghanto se apka wait kar rahi hu,1
jawab deyde...?? :( :( #livechatwithsalmankhan,2
gud see vaaijaan,2
or bhai sub ko bol do kye ap mare bhai ho ap ko kasm hai ap ke bhai bhai samj kar agar ap moje bhai samj te ho to facebook par boldo kye babar khan mangi mara friend nh balke bhai hai ap ki bhai babar,2
wo bahut busy hai kisi kaam me hoge is liye nahi aaye socha hoga tab tak kam pura ho jayega but nahi ho paya hoga kaam pura to nahi aa paye,2
"agr is desh me badlaw lane hai to sampark kre 9451551081, pe mere pass sujhaw aur tarika dono hai teachero ka vetan bhar bdhate jao jo sote hai collego me soche fir comment kre",1
Kya karke jaoge. Aap,1
salman ke haters ko koi comment hi mat karo..tottaly ignored..great salman,2
i love u sir  mujhe aap bhute acche laghte ho,2
Hlw Bhaijan.Bajrangi Bhaijan ko le kar apka kya opeksha hai?Is film me aap hanuman jika vokt ho ap kay real zindegi me hanuman jiko mante ho?,1
Delete mat karna himat hy to jawab to,0
salman bhai ne apka bahot bda fan hu,1
abe chirkut logo thoda hawa to aane do itna bheed lga k rkha h chalo baccha log sb shanti se baith jao koi shor nhi machayega bhai aap ek ek krke sb se milo,1
Hi bhai aap kaise ho bhai aap ka fan h,2
sir 4 bag gaye aap kab baat karoge,1
Gr8....I love salman.....challenge bhi good or challenge dene vala bhi good........,2
bar bar time mat badal na .barna lg apko vul jange,1
meri baat par kisi bhi hamazade ko koi bhi doubt ho shock se aye mere village,0
Bhai aapke baare mein koi kuch bhi kahe hame kuch farak nahi padta aap hamare bhai ho allah aap ki movie ko super kare jumma mubarak bhai khuda hafiz,2
Mujhe aap ki movie or bigg boss ka bhttt besabri se intezr hota hai,1
we know bhaijaaan kwo sab fake tha,0
SirAapne Jo musalmaano ke khilaaf statement diye wo galat he,0
Sallu 4 Baj gaye hai aja o na,1
Bhai apki film ka whatsapp pr kuch mesg a rhe hai kya ye meg sahi hai,1
Salman bhai milenge kab intezaar hai aapki,2
nhi aoge kya bhaijan,1
Looking hottt salman...,2
Kiya bhai jaan,1
handsome sallu <3,2
modi ke maki chooooooooth me mera booooooooooolaaaaaaaaaaaaaaa,0
Kabhi to indiya me raho modi ji kasmir hamara janam shid adikar he 67 sal kangres ne bevkuf banaya ap ko jitaya he ab visvas mat todana piliz sar jitni bhi galt dhara he kasmir me use hatao baki des to ham yowa chalahi lenge,0
Salman Bhai.....Mri Bf mjhse jada apko pyar karti h...or islie mjhe usse bht pyar h kyunki wo mjhse jada apko pyar karti h,2
thnks alot sallu,2
Salman bhai aap meri coments path te he,2
Intezar kab tak hum karenge bhla,1
hum to taiyar hai,1
bhaijaan kaha ho,1
I love u.modi sir jankibhi jarurat ho to mang lena haste haste.dedege aap ka subh sintak,2
bhai media me aake bayan do .....sale kon hai rumor urane wala.....,0
hiiiiiiiiiiii sallu bhai im big fan sallu bhai aapko twitter par roz mai hi massage karti ho im big fan sallu bhai reply plzzzzzz,1
i love salman sir.....dost na koi manjil he na koi sathi he fir bhi nikal pada udhar se sayad jis ki talash he wahi sathi he wahi manjil he......o o jane jana dhunde tujhe diwana........salman sir i love you,2
"Eid ki aapko dher sari badhai ho, and BAJRANGI BHAIJAN 17ko screen par aai he to me or meri family sab dekhne jayenge, and me dua karta hu ki aapki ye film jyada tar log dekhe or 200corore ke club se bhi aage jaye. BEST OF LUCK. BEING HUMAN",1
assalam walekum bhaijaan,1
Arif khan kounse news channel par dikhain hai sirf itna batado,1
1-no bhai,2
friend yahan internet bahat slow ..... hai./..... sorry,1
Ha bhai kab se tyaaar hai Patiy ke liye,1
Main apse milna chahta hun,1
Salman dear bye aftari kerte ha hum prr melinge...,2
Ab aa bhi jao bhaijaan,2
Hello...salman khan ji....,1
Hello modi ji,1
Tm ho koun? Asaduddin owaisi sahab ne tmhri aukat dikha di.. abhi b tmko samjh nhi aaya,0
Tension leneka nehi #BHAIJAAN.,2
@bhupendra panwar...tu pakistan kyu ni chala jata 5 saal k liye..?,1
Naice naice naice....,2
Bhai jaldi aa subi se waiting,1
Modiji des ne aap pr bharosa jtaya hai aap hmari ummido pr khra utrna,2
Sub ko farig kro or mujh say baat krna plzzzzzzzz,1
Hi.kabhi kabhi apne fanse bhi mil lia kijie.kuch surprised to dena chahie...,1
hur hur dabangg dabangg dabangg ..... Bajrangi bhaijan,2
Salman bhai rumors phailri hai ki aap ne kaha Muslim ke bina movie hit karaonga is that true?,1
flop movie kutta salman,0
Bhai jo apno se dur ho toh unka toh yahi ek zariya hai touch me rehne ka,2
Bhai aap ke may bara fan hu please aap number mujhe mallum nhi,2
Ap late ho ap ne apne cometment pori nai ki,1
Salman sir hme pta h. W8,1
"Puraa Vishwa aaj Bharat ki or dekh rahaa h,",2
Bajrangi bhai jan to supar hit hai kyoki sare musalman bhai salamn khan ki film dekhge...,2
koi hindu nhi koi muslim nhi hm sab hundustani hai,1
mere sawal ka jawab koi nhi de sakta ;),2
Hamre vote nahi milenge aapko agar us din muslim ki cap pehni to,0
bhai aapko bajrang bali ki kasam aa jao,1
4 pm ho gye bhai,1
4 bj gye hai kb aaoge online,1
my sallu bro always mindblowing salam sallu bhai,2
Salman khan Bajrangi kutta maa ka lauda bhenchod,0
waah todi or request krke dekho tb bhi nhi dekhai dege salman bhai,1
aapki pic hit ho ye meri tammnna hai,2
bb ki liye toh maine already bol rakha hai abi se,1
bhai ap boht ache hn Allah ap khush rkhe,2
Salman Bai Agar ap ya Coments par ra han to plz ans b dan ap kasy han Aur rozay kasy guzar raha han.,1
Sir kya aap fir kashmir aavoge plz reply,1
salman sir plz reply..my cmnt my dream wil cm true.. plz reply with my name,1
Bhai jaldi karo na,1
Meri jaan mera salman,2
bhai bajrangi bhaijaan pendant mila mujhe...Aaj ki party meri taraf se song launching par in JW Marriott Hotel me... thnx bhai,2
Salman ji aapne iss bar koi song nahi gaya mujhe wait tha k iss bar b aap ke lovely voice main koi song gaye ......I love your voice ....hangover is my all time favourite song abe tak main vo song sunte ho I just love that song,2
Modi ji .....ye galat baat hai jo aapn 3 crore ka stage lagwa raha han ..... please think about it,2
modi ji aap ki soch bahut sahi lgti hai progres n hona hi sabki wajah hai is liye sabse zaroori hai ki desh ka vikas ho,2
bhai 2 din se wait kar raha ho aab to comment karo,1
Modi j jitna aap ki yojna greatest hai hum aap k sath hai sir j,2
Ye to hogi super supar hit dum hai to KOI TO ROOK LO,2
Hum bajrangbali ke bhakt h mr jayenge magar jhoot nahi bolengei miss you broi like you bro,2
Apkeliya masig salman,1
Mulle ne ek mulle ko bacha liya...,1
ye page fake nai hai bas es mein fake loug salman khan ban kar aa jate hai per ye page million corore sahi hai salman sir ki he id hai ye,1
Salllu tumhe pta bhi h ki tum iss red pathani kurte me kya jabardast lag rahe ho....koi bhi ladki mar jaaye tumhare liye to...ummmmaaahhhh?,2
chicken song iw awesome bhai,2
Kia  baat  kary gy,1
lv u salman... schi m bat kroge kya sbse.. lv uuuuuuuuuuu sooooooooooo mch.......,2
salman bhai aap meri life ho m bacpan se aapko apna bhai manti ayi hu apse badkar koi nai h mere liye bas ak baar mujhe bahan kah do best day of my life,2
good morening salaman bhai,1
Advenced idd mubarak,1
Chal teri ma ki chuy,0
Salman bhai zinda baad aur Un k dosuman mordabaad kon kon is se zehmat hia,1
aadab salman ji,1
Kya bhai kahi koi item toh nahi mil gayi kya,1
Heard k Sallu bhai ko musalmaano ki ab koi zarurath nahi rahi iz diz true???,1
Ae fake salman Khan he Salman khan aur tiger khan ek adme he jo 2 2 accout use ker rha he sassery ne time wast ker deya,0
abe tm log jyada chapad chapd kroge to bhai jaan chale jyenge bola n sb chup chap bhaitho ekdm shanti shanti shanti aankh bnd kr k no type any commnt sirf bhai ka dhyan lgao,1
Ok sallu miy,1
hello bhai ji,1
Dongiri tb hogi jb salu bhai(Salman) nd GuRu bhai(Hemant) dono sath me honge..,2
Sir pleaz jalde ao,1
Fav..food kya hai,1
ME AAPKA BHOT BHOT BHOT Bd fan hun,1
yeh salman khan ki purani aadat hai.... late aana :p,1
Salman bhai jai ho,2
Hame to 17 ki whit hai,1
Assalam walaikum.Kaise ho salman khan.Ramzan Mubarak hu....,1
next time bhai ke commitment ka wait karta hu. sayad aaj kuch jada bz hn juma h na. Love you bhaijan. khuda hafiz,1
"ap ka sb film dekta hu, me v bajrnag Bali ka bhkt hu, jai bajrang bali ji, ap film nam se suprhit ho gya, nam se,hi ap ke dusmn bahg jayga,",2
Bhai aap ke liye kitna bhi wait krna pade karenge,1
Sir it not fair RAMJAN KA MAHINA HA PICHA RAH GAE HM sayad mukadar me nh tha !,0
Sir hm sab digitial india ke platform pe chalna chahte hai.mai samghta ho kifirst priority hmre force ko hny chahiye becaymuse unhe sabse jyada digital hona must hai india ke liye.,1
plz rply kro naAAA:<,2
bhupender panwar hijda musalmaan hai,0
tu galat baat hai,1
"Kash khuda unhe vo samaj do jo mazhab ka galat istmal karke ek ki jagah char char bibio se shadi karke, aurat ki majburi ka faida uthate hai",2
"8lez,ap fix tym bta dijiye sir ki kb are ho.ap fb p",1
"Sir, Namaskar. Mai Bihar se hun aur aapka jabardash prasansak hu, Aap jo desh ke liye niswarth bav se kam kar rahe hai, aapko sadaib best p.m ke roop me jana jaega. salute to you sir.",2
subki aan subki shaan hai apna bhaijaan,1
hurkuchhhhh ultimate ....blockbuster,2
Bahan chood teri,0
Salu bhai dabangg 3 kab release kar rahe ho,2
Aapne aisa q kha salman ki aap bina muslmn ki apni pix hit kra doge,0
Hahah okay ap sab ke marzi ok bye,1
Sonya tum ladka ho ya ldki jaldi btao ek kam h tum se,1
Howar you salman bai,1
Bhai jan jldi jkdi,1
Kamaal karte ho pandey ji whr r u,1
Juz in last 5 mints... 5000 comments and 10000 likes.. Itz juz awsum,1
I love you salman khan my aap ki bhut bhut jada fan hu,2
I wish Aallaahh apko hmesha kush rkhe Salamat rkhe....love u,1
Salmam sir hmesha apko to hi follow krtee h hmm. Apko dekh kr hi sikha h ki dusro ki heLP krna kya hota h. Dil ko khusi milti hh ab jana hmneeee,2
No problems Salman Bhai aapka koi bhi kuch ukhad nahi sakta bajrangi Bhai jaan suparhit movie hogi,2
Bhiya ji mujhe ek chota mota roll de dena dabbang three me,1
md.intjar.malik. bajrangi.bhijane. .i love.you. (786). bhijane.apki.film. no: 1 hogi.,2
ghumna band karo modiji ab thoda sarkar ko bhi dekhlo ..............................,0
Bhai jan jindabad,2
Katrina ranvir ke saath hai..tum kya kor rahe ho,1
Bajrang bali ki jai,2
Salman bhai still waiting 3:30 baj gaye hai,1
Hum to 2 vje se w8 main hai,1
Salman khan chahe tera dad musalman hai chahe teri mom hindu hai chahe tu barti hai chahe tu koibi kisi bi chokath ka kuta kuta kuta hai hai hai salman khan tune allah ke name ko istara behudmi nahi karni chahie thi ........,0
mujhe kaise pata chega ki aap aa gaye hai,1
Salman bhai 1 no,2
super bajrangibhai jaan super hit movie,2
bhai my phone discharged ho raha hai 26% bettry bachi hai,1
tu sisters aur brothers bahut pyar karte?,1
sir I love u sir wait Karenge Ganapati baba ki jai bajarangibhai Jan ki jai,2
Narendra damodar modi g acche din kab ayenge babu. Hai koi upaye.,0
Kaum ke gaddaro ke sath parti nahi krte hum,0
"U jahanami ,,,.hate u ,,waqt hai sudhr jao,,,",0
itna wait to kbhi GF ka b nhi kiya,1
Koi nhe dekhega es tere mivie,0
Bhai sab ko pagal samjha h kha ho,1
"Mashallah 2.3k comments and likes r 33,966 great 300 crores hai bhai ki film kai",1
? belive of course buddy...i believe in your heart ...hameshaa buddy hameshaaa....i love uuu <3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3 3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3 3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3 3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3 3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3 3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3 3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3<3,2
Log apna sapna Pura karne ke liye puri duniya ko bhi dokha de sakta h,1
Koi bhi yeh chutiyo Salman Khan picture nahi dekhne musalmano be care ful picture ko flop karne ha,2
Bhaijaan aap bahot achhe insaan hai jo na samjhe wo nadaan hai aap to bajrangi bhaijaan hai ramjan eid mubark bhaijaan,2
Salam malikkum bhai jaan,2
haye Sallu....tussi gr8 ho........,2
kiya kismat hai,1
Modi ji desh ka nam bda rhe he.,2
Apke niti se ane wale salo me bharat sabse age hoga... Or apki widesh niti bahot hi badhiya h...,2
Aap jaisa kimti mind sabke pas hona chiye issse bimari nai banti hai,2
muhhhhhhhhhhhhh meri jaan ....love u sallu.... <3 <3,2
Bhai jaan salam lekum aapke pass time hai,1
Thank you sir apka yatra se desh ko jarur fayada hoga hame garv hai app par aur apaki nitiyo par,2
Eid Mubarak bajrangi bhijaan,2
